key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-881236429,Lay causal beliefs about PTSD and cultural correlates in five countries,2022,12,,EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,2000-8198,13,1,,"Meyer, Caroline and Kampisiou, Christina and Triliva, Sofia and Knaevelsrud, Christine and Stammel, Nadine",,English,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND","Background To date, cultural clinical research has primarily focused on differences between ethnic groups when investigating causal beliefs about mental disorders. While individual as well as contextual factors are considered important for gaining a better understanding of cultural influences, research on causal beliefs about post-traumatic stress disorder (PTSD) and cultural correlates in laypersons is scarce. Objective This study aimed at gain a better understanding of the association between causal beliefs about PTSD and cultural aspects, as well as other contextual and individual correlates of causal beliefs. Method We conducted a cross-sectional, vignette-based online survey with 737 laypersons from Mexico, Ecuador, Germany, Greece, and Russia. Participants completed the illness perception questionnaire revised (IPQ-R) and reported several cultural and sociodemographic (e.g. country of residence, gender, personal values) as well as mental health-related variables (e.g. PTSD symptoms, previous seeking of help). Latent class analysis (LCA) was performed to identify subgroups of individuals expressing similar causal beliefs for PTSD. Multinomial logistic regression was used to analyse covariates of class membership. Results LCA resulted in a three-class solution of casual beliefs: a traumatic event-focused class (41.1\%); an intrapersonal causes class (40.1\%); and a multiple causes class (18.0\%). Multinomial logistic regression analysis revealed country of residence, gender, personal value of security, PTSD symptoms, and mental health literacy as significant covariates of class membership. Conclusions Integrating a more diverse concept of culture into cultural clinical research can be a valuable addition to group comparisons based on nationality or ethnicity. Cultural clinical research needs to move towards a more integrated approach that accounts for the complexity of culture. Including additional contextual and sociodemographic factors can help to reach a more accurate understanding of the cultural influences on the development of causal beliefs and mental health.","RAYYAN-INCLUSION: {""Isaac""=>""Included"", ""Aqsa""=>""Included"", ""Fiona""=>""Excluded"", ""Consensus""=>""Included""} | RAYYAN-EXCLUSION-REASONS: not sure if PTSD counts",10.1080/20008198.2022.2029333,"Post-traumatic stress disorder; illness perceptions; values; trauma; cultural clinical psychology; Ecuador; Germany; Greece; Mexico; Russia;Stress Disorders, Post-Traumatic;Causality",,
rayyan-881236430,"Traditional, religious, and cultural perspectives on mental illness: a qualitative study on causal beliefs and treatment use",2022,12,,INTERNATIONAL JOURNAL OF QUALITATIVE STUDIES ON HEALTH AND WELL-BEING,1748-2623,17,1,,"Subu, Muhammad Arsyad and Holmes, Dave and Arumugam, Ashokan and Al-Yateem, Nabeel and Dias, Jacqueline Maria and Rahman, Syed Azizur and Waluyo, Imam and Ahmed, Fatma Refaat and Abraham, Mini Sara",,English,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND","Purpose Limited information is known from studies regarding traditional, religious, and cultural perspectives on mental illness and the use of traditional and alternative therapies by mentally ill people in Indonesia. This study explored traditional, religious, and cultural beliefs about causes of mental illness and the use of traditional/alternative treatments for mentally ill patients. Method We adopted a qualitative content analysis method as proposed by Schreier. This study was conducted at a mental Hospital in Indonesia. We interviewed 15 nurses and 15 patients. Data were analysed using qualitative content analysis method. Results Five discrete but interrelated themes emerged: 1) Possessed illness and belief in supernatural forces; 2) Sinful or cursed illness; 3) Witchcraft or human-made illness; 4) traditional/alternative treatments; and 5) Barriers to treatment of mental illness. Conclusion Traditional/alternative treatments play an important role in meeting the need for mental health treatment. The findings are relevant for mental health nurses who provide direct to their patients, and for other areas of mental health practice. We also found a lack of knowledge about the causes of mental illness among patients and families. Education should be at the heart of mental health promotion to raise the level of mental health literacy in Indonesia.","RAYYAN-INCLUSION: {""Isaac""=>""Included"", ""Kelly""=>""Included"", ""Consensus""=>""Included""}",10.1080/17482631.2022.2123090,Traditional; alternative; cultural perspectives; mental illness; causal beliefs; treatment use; content analysis,,
rayyan-881236431,Influence of mental health literacy on help-seeking behaviour for mental health problems in the Swiss young adult community: a cohort and longitudinal case-control study,,,,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,0940-1334,,,,"Osman, N. and Michel, C. and Schimmelmann, B. G. and Schilbach, L. and Meisenzahl, E. and Schultze-Lutter, F.",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY","Poor knowledge about mental health disorders and their treatment likely contributes to the large treatment gap reported for mental health problems. Therefore, we studied the association between mental health literacy (MHL) and active help-seeking in a community sample. Participants were recruited from an add-on questionnaire study to the `Bern Epidemiological At-Risk' (BEAR) study on 16-40-year-old community subjects of the Swiss canton Bern. At baseline, data of N = 1504, and at 3-year follow-up, data of N = 535 were available. Based on an unlabelled case vignette (on depression or schizophrenia), MHL was assessed by the questionnaire of Angermeyer and colleagues. Cross-sectional and longitudinal baseline predictors of help-seeking were analysed using path analyses. Additionally, sensitivity analyses of the prospective model were computed for sex, vignette, and baseline mental health problems/disorders. Cross-sectionally, help-seeking was associated with non-endorsement of biogenetic causal explanations, presence of mental health problems/disorders, help-seeking before baseline, poorer functioning, and lower health satisfaction. The prospective model was similar; yet, help-seeking at follow-up was associated with endorsements of the causal explanation `biogenetics' and, additionally, `childhood trauma' but not the presence of baseline mental health problems/disorders. Sensitivity analyses revealed a significant impact on sex, vignette, and mental health problems/disorders. For example, actual functional problems were predictive in males, while health satisfaction was predictive in females. Our findings indicate that future studies on drivers of help-seeking should assess very large community samples with case vignettes on different mental disorders to examine appropriate subgroups and their likely interaction to address group-specific factors in awareness campaigns.","RAYYAN-INCLUSION: {""Isaac""=>""Included"", ""Kelly""=>""Included"", ""Consensus""=>""Included""}",10.1007/s00406-022-01483-9,Mental health literacy; Active help-seeking behaviour; Mental health problems; disorders; Longitudinal community study;Case-Control Studies,,
rayyan-881236432,Do Gender and Country of Residence Matter? A Mixed Methods Study on Lay Causal Beliefs about PTSD,2022,9,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,19,18,,"Meyer, Caroline and Heinzl, Louisa and Kampisiou, Christina and Triliva, Sofia and Knaevelsrud, Christine and Stammel, Nadine",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Laypersons' causal beliefs about mental disorders can differ considerably from medical or psychosocial clinicians' models as they are shaped by social and cultural context and by personal experiences. This study aimed at identifying differences in causal beliefs about post-traumatic stress disorder (PTSD) by country and gender. A cross-sectional, vignette-based online survey was conducted with 737 participants from Germany, Greece, Ecuador, Mexico, and Russia. Participants were presented with a short unlabeled case vignette describing a person with symptoms of PTSD. Causal beliefs were assessed using an open-ended question asking for the three most likely causes. Answers were analyzed using thematic analysis. Afterwards, themes were transformed into categorical variables to analyze differences by country and by gender. Qualitative analyses revealed a wide range of different causal beliefs. Themes differed by gender, with women tending to mention more external causal beliefs. Themes also differed between the five countries but the differences between countries were more pronounced for women than for men. In conclusion, causal beliefs were multifaceted among laypersons and shared basic characteristics with empirically derived risk factors. The more pronounced differences for women suggest that potential gender effects should be considered in cross-cultural research.","RAYYAN-INCLUSION: {""Isaac""=>""Included"", ""Fiona""=>""Included"", ""Consensus""=>""Included""} | RAYYAN-EXCLUSION-REASONS: not sure if PTSD counts",10.3390/ijerph191811594,"post-traumatic stress disorder; illness perceptions; explanatory models; trauma; cultural clinical research; mixed methods; intersectionality;Stress Disorders, Post-Traumatic;Causality",,
rayyan-881236433,Participatory Action Research for Tackling Distress and Burnout in Young Medical Researchers: Normative Beliefs before and during the Greek Financial Crisis,2022,9,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,19,17,,"Sifaki-Pistolla, Dimitra and Mechili, Enkeleint A. and Melidoniotis, Evangelos and Argyriadis, Alex and ros and Patelarou, Evridiki and Chatzea, Vasiliki-Eirini",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","(1) Background: We aimed to explore Young medical researchers (YMR) normative beliefs and perceived causes of distress and burnout, prior and during the financial crisis in Greece, and to assess their views on Participatory Action Research (PAR) interventions towards tackling these disorders. (2) Methods: A Participatory Learning and Action (PLA) methodology was performed in two time periods (prior crisis: December 2008; during crisis: February-March 2017). In both time periods, three different groups (Group 1: females, Group 2: males, Group 3: mixed) of 5-7 participants and two sessions (approximate to 1 h/session) per group took place in each site. Overall, 204 sessions with 1036 YMR were include in the study. (3) Results: Several socio-demographic characteristics of YMR altered during the crisis (lower income, higher smoking/alcohol consumption, etc.). The majority of YMR conceived distress and burnout as serious syndromes requiring professional support. Feeling very susceptible and the necessity for establishing PAR interventions were frequently reported during the crisis. Numerous (a) barriers and (b) cues to action were mentioned: (a) lack of time, money and support from friends/family/colleagues (b) being extensively informed about the intervention, participation of their collaborators, and raising awareness events. (4) Conclusions: The changing pattern of Greek YMR's beliefs and needs during the crisis stresses the necessity of interventions to tackle distress and burnout. Effectiveness of these interventions could be enhanced by the suggested cues to action that emerged from this study.","RAYYAN-INCLUSION: {""Isaac""=>""Excluded"", ""Kelly""=>""Excluded"", ""Consensus""=>""Excluded""}",10.3390/ijerph191710467,participatory action research; professional burnout; psychological stress; research personnel; economic recession; normative beliefs; qualitative research;Health Services Research,,
rayyan-881236434,The role of achievement attribution in the associations between parent-child communication and psychological well-being among adolescents: A mediation analysis,2022,8,,EUROPEAN PSYCHIATRY,0924-9338,65,1,,"Li, Ningning and Li, Yuting and Huang, Xinxin and Xiang, Siying and Hu, Qianying and Luo, Chao and Ju, Peijun and Mellor, David and Xu, Yifeng and Fei, Hui and Chen, Jianhua",,English,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND","Background Previous studies have explored the association between parenting style and offspring's psychological well-being, and the association between offspring's achievement attribution pattern and psychological well-being. However, little is known about the role of offspring's achievement attribution in the relationship between parenting and offspring's psychological well-being. We aimed to find the role of adolescents' achievement attribution pattern in the relationship between parent-child communication quality and adolescents' mental health. Methods A cross-sectional analysis was conducted on 2,725 adolescents aged from 9 to 18 years who are participating in the China Family Panel Studies. Participants supplied demographic information and completed a series of psychological scales including the Center for Epidemiologic Studies Depression scale, an adapted version of the Parental Bonding Instrument, an achievement attribution scale, and single-item measures of subjective well-being and subjective interpersonal popularity. Results Linear regression analysis revealed that after controlling for demographic factors good parent-child communication negatively correlated with depression symptoms, and positively associated with subjective well-being and subjective interpersonal popularity. Next, mediation analysis found that internal attribution of achievement partly mediated the effects of parent-child communication quality on adolescents' depression, subjective well-being, and subjective interpersonal popularity. The result was robust after controlling demographic variables. Conclusions An internal attribution pattern of achievement partially accounted for the associations between parent-child communication quality and adolescents' psychological outcomes including depression, subjective well-being, and subjective interpersonal popularity. Future interventions for adolescents' mental health promotion can target parent-child communication and adolescents' positive achievement attribution pattern.","RAYYAN-INCLUSION: {""Isaac""=>""Excluded"", ""Fiona""=>""Excluded"", ""Consensus""=>""Excluded""}",10.1192/j.eurpsy.2022.2314,Achievement attribution; depression; parent-child communication; subjective interpersonal popularity; subjective well-being;Adolescent,,
rayyan-881236435,Staff perspectives on obesity within a Welsh secure psychiatric inpatient setting,,,,JOURNAL OF MENTAL HEALTH TRAINING EDUCATION AND PRACTICE,1755-6228,,,,"Davies, Joseph Lloyd and Bagshaw, Ruth and Watt, Andrew and Hewlett, Paul and Seage, Heidi",,English,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","Purpose This study aims to understand the perceived causes and consequences of weight gain within a secure psychiatric inpatient service in South Wales. Design/methodology/approach A purposive sample of 12 staff members were interviewed. These interviews were transcribed verbatim and analysed using thematic analysis. Findings Three themes were identified, these were increasing demand for integrated physical health care, unhealthy lifestyles and weight gain viewed as a symptom of poor mental health. Originality/value It is a unique insight into the factors that contribute to obesity in a Welsh secure unit and adds to current understanding of the challenges of improving weight management services within this sector.","RAYYAN-INCLUSION: {""Isaac""=>""Excluded"", ""Aqsa""=>""Excluded"", ""Consensus""=>""Excluded""}",10.1108/JMHTEP-06-2022-0050,Obesity; Staff perceptions; SMI; Secure psychiatric inpatient settings; Serious mental illness;Obesity,,
rayyan-881236436,Addiction onset and offset characteristics and public stigma toward people with common substance dependencies: A large national survey experiment,2022,8,,DRUG AND ALCOHOL DEPENDENCE,0376-8716,237,,,"Krendl, Anne C. and Perry, Brea L.",,English,ELSEVIER IRELAND LTD,"ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND","Drug-related overdose deaths topped 100,000 between 2020 and 2021. Opioids and stimulants are implicated as the primary drivers of this public health crisis. Stigma remains one of the primary barriers to treatment and recovery from substance use disorders. However, little is known about how stigma varies across different substance types, whether individuals are actively using or in recovery, and medical versus recreational onset. We examined these questions using data from the 2021 Shatterproof Addiction Stigma Index, the only nationally representative data available on this topic. Respondents (N = 7051) completed a vignette-based survey experiment to assess public stigma (social distance, prejudice, competence, and causal attributions) toward people with alcohol, opioid (following a prescription pain or recreational use onset), heroin, or methamphetamine dependencies. Vignette characters were described as active users or in recovery. Adjusting for covariates (e.g., race, age, gender), prejudice and desire for social distance were highest toward heroin and methamphetamine, and lowest toward alcohol dependence. The perceived onset of the dependency affected stigma. Specifically, prescription opioids with a recreational onset were more stigmatized than those with a medical onset. Moreover, individuals depicted as being in recovery were less stigmatized than those depicted as active users. Recovery status had the largest impact on prejudice and social distance toward methamphetamine, relative to other conditions. The nature and magnitude of substance dependency stigma differs across substance types and onset and offset conditions. Reducing stigma will require tailored strategies that consider the multidimensional nature of stigma toward people with addiction.","RAYYAN-INCLUSION: {""Isaac""=>""Included"", ""Fiona""=>""Excluded"", ""Consensus""=>""Included""}",10.1016/j.drugalcdep.2022.109503,Stigma; Opioids; Addiction; Substance dependency; Recovery,,
rayyan-881236437,"Childcare providers' views of challenging child behaviors, suspension, and expulsion: A qualitative analysis",2022,9,,INFANT MENTAL HEALTH JOURNAL,0163-9641,43,5,695-713,"Mondi, Christina F. and Rihal, Tripat K. and Magro, Sophia W. and Kerber, Sydney and Carlson, Elizabeth A.",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Previous research has underscored a need to understand the experiences and decision-making processes that contribute to suspension and expulsion in early care and education settings, particularly among young children of color. The present study conducted qualitative interviews with 20 center- and family-based childcare providers from the Minnesota Early Care and Education (MECE) study. Participants were asked about challenging child behaviors that they have encountered, their perceptions of these behaviors and how they manage them, and their thought processes around suspension and expulsion. Overall, the most frequently reported categories of challenging behaviors were physical aggression and noncompliance/defiance/arguing. The most commonly reported perceived causes of challenging behaviors were typical child development and parenting problems. The primary reported strategy for addressing challenging behaviors was connecting with the child, with relatively few providers reporting using other evidence-based strategies. Finally, the most commonly reported reasons for considering suspension or expulsion were the providers feeling they had exhausted options and could not meet the child's needs, and the child's behavior being perceived as dangerous to self or others. Implications for future research and practice (including increased support services for childcare providers) are discussed.","RAYYAN-INCLUSION: {""Isaac""=>""Excluded"", ""Fiona""=>""Excluded"", ""Consensus""=>""Excluded""}",10.1002/imhj.22005,challenging behaviors; childcare; early childhood; expulsion; suspension;Only Child;Child;Child Behavior,,
rayyan-881236438,Unfair Treatment by the Police and Race: Is Religiosity a Protective Resource for Well-Being,2022,8,,SOCIAL CURRENTS,2329-4965,9,4,387-409,"Upenieks, Laura and Daniels, Colton L.",,English,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA","A growing body of work documents the relationship between criminal justice and health has emerged in recent years, including the association between unfair treatment by the police (UTBP) and violent/racialized policing and health outcomes. However, little is known about the resources that could reduce the harmful consequences to well-being of UTBP. Using data from the Nashville Stress and Health Study, we consider both depressive symptoms and allostatic load (a physiological marker of health) and several dimensions of religiosity as stress buffers. African Americans (but not Whites) who experienced personal police contact reported higher depressive symptoms relative to those who experienced no police contact and those reporting vicarious UTBP. Weekly religious attendance and higher church-based support (but not beliefs in divine control, a causal attribution of God's influence in daily life) mitigated this relationship. African Americans with personal UTBP had higher allostatic load than those with no UTBP. Neither church attendance nor church-based social support attenuated the relationship between personal UTBP and allostatic load, nor did divine control. We discuss how the results of our study can help clarify the parameters of the effectiveness of religious/spiritual coping for African Americans and their implications for criminal justice reform.","RAYYAN-INCLUSION: {""Isaac""=>""Excluded"", ""Kelly""=>""Excluded"", ""Consensus""=>""Excluded""}",10.1177/23294965211028847,police contact; race; psychological distress; allostatic load; religiosity;Continental Population Groups,,
