key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
1,"Pathways To Childhood Depressive Symptoms: The Role Of Social, Cognitive, And Genetic Risk Factors",LAU JYF;RIJSDIJK F;GREGORY AM;MCGUFFIN P;ELEY TC,DEVELOPMENTAL PSYCHOLOGY,,,,,2007,,,"Childhood depressive conditions have been explored from multiple theoretical approaches but with few empirical attempts to address the interrelationships among these different domains and their combined effects. In the present study, the authors examined different pathways through which social, cognitive, and genetic risk factors may be expressed to influence depressive symptoms in 300 pairs of child twins from a longitudinal study. Path analysis supported several indirect routes. First, risks associated with living in a step- or single-parent family and punitive parenting did not directly influence depressive outcome but were instead mediated through maternal depressive symptoms and child negative attributional style. Second, the effects of negative attributional style on depressive outcome were greatly exacerbated in the presence of precipitating negative life events. Third, independent of these social and cognitive risk mechanisms, modest genetic effects were also implicated in symptoms, with some indication that these risks are expressed through exposure to negative stressors. Together, these routes accounted for approximately 13% of total phenotypic variance in depressive symptoms. Theoretical and analytical implications of these results are discussed in the context of several design-related caveats. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,DEPRESSIVE SYMPTOMS; ATTRIBUTIONAL STYLE; GENETIC RISK; SOCIAL RISK; COGNITIVE RISK; MULTIFACTORIAL MODEL; CHILD; COGNITION; DEPRESSION; EMOTIONS; ENGLAND; FAMILY; FEMALE; HUMANS; LIFE CHANGE EVENTS; LONGITUDINAL STUDIES; MALE; MODELS; PSYCHOLOGICAL; PUNISHMENT; RISK FACTORS; SOCIAL BEHAVIOR; WALES; ATTRIBUTION; COGNITION; GENETICS; MAJOR DEPRESSION; PSYCHOSOCIAL FACTORS; FAMILY; RISK FACTORS; SYMPTOMS
2,An Exploration Of The Nature And Causes Of Distress In Women Attending Gynecology Outpatient Clinics,GLOVER L;NOVAKOVIC A;HUNTER MS,JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGY,,,,,2002,,,"This study evaluates the distress experienced by women attending gynecology outpatient clinics (gocs). We investigate causes of this distress and explore women's own experience of their distress. A questionnaire survey of 197 women attending gocs was carried out, both quantitative and qualitative analyses were undertaken. Thirty-five percent of women showed clinical levels of anxiety, 13% had clinically significant depression and half reported feeling distressed. A range of feelings was reported, though commonly mixed emotions were expressed. Women had a low sense of personal control and uncertainty in relation to their gynecologic problem. Both coincidental stress, such as life changes, and the direct consequences of the gynecologic problem were predictive of anxiety. Qualitative analysis suggested four ways in which women experienced their distress and the gynecologic problem: (i) gynecologic symptoms were a direct cause of distress, (ii) gynecologic symptoms caused distress indirectly through reactions to diagnosis and treatment, (iii) gynecologic symptoms caused distress because of their impact on relationships, social life and self identity, and (iv) distress was unrelated to the gynecologic symptoms. Results highlight diversity and complexity in women's experiences and support the need for a fuller understanding of distress in this group in order to meet their needs adequately and appropriately. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,WOMEN DISTRESS; GYNECOLOGY OUTPATIENT CLINICS; ANXIETY LEVEL; DEPRESSION; SOCIAL SUPPORT; LIFE CHANGES; ADULT; AMBULATORY CARE FACILITIES; ANXIETY DISORDERS; DEPRESSIVE DISORDER; MAJOR; FEMALE; GENITAL DISEASES; FEMALE; GYNECOLOGY; HUMANS; SURVEYS AND QUESTIONNAIRES; DISTRESS; GYNECOLOGY; OUTPATIENTS; ANXIETY; HUMAN FEMALES; SUPPORT GROUPS
3,Narratives Of Suffering Of South Asian Immigrant Survivors Of Domestic Violence,KALLIVAYALIL DJ,NA,,,,,2007,,,"This study examines the mental health consequences of domestic violence against south asian immigrant women. Using a combination of standard psychological assessments and narrative interviews, it examines women's own narratives of suffering to examine cultural representations of their abuse experiences and their consequences to shed light on how community-specific explanatory models, metaphors, and idioms add to and diverge from traditional psychiatric symptoms and categories. Dsm diagnoses did appear be relevant outcomes for this population and women met criteria for a number of critical psychiatric diagnoses. Depression, ptsd, and anxiety disorders were the most common of these diagnoses, as has also been reflected in the mainstream literature. Further, many of the narratives were strongly influenced by the experience of chronic intimate violence and captivity, which were not comprehensively captured by the dsm system. A critical finding was that herman's (1992) complex ptsd concept more accurately captured these chronic trauma outcomes for south asian immigrant women than the dsm ptsd diagnosis. The narratives also elucidated larger themes of experience that painted a picture of the close dialectic relationship between personal suffering, and larger structures such as the arranged marriage system, immigration, city agencies, and mental health interventions. The narratives obtained for this study illustrate the women's own perceptions of their suffering and symptoms, and provided a window into the south asian immigrant community's ideologies or moral domains regarding gender, violence, and sickness. They thus illustrate how migration and culture interact with the deeply personal experience of suffering caused by domestic violence. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,SUFFERING; SOUTH ASIAN IMMIGRANT SURVIVORS; DOMESTIC VIOLENCE; NARRATIVES; DOMESTIC VIOLENCE; IMMIGRATION; NARRATIVES; SOUTH ASIAN CULTURAL GROUPS; SURVIVORS
4,Attribution Theory And Reducing Stigma Toward Women With Postpartum Depression: Examining The Role Of Perceptions Of Stability,RUYBAL AL;SIEGEL JT,STIGMA AND HEALTH,,,,,2019,,,"Beyond dealing with the negative impact of depression, women with postpartum depression (ppd) also experience the burden of stigma. Guided by weiner’s attribution-emotion-action model, the current studies assessed whether emphasizing the temporary nature of ppd indirectly results in greater willingness to provide social support, through anger and sympathy. Reduced anger and increased sympathy were also predicted to be associated with increased relationship closeness as well as more favorable social support outcome expectations. A cross-sectional study (n = 90) demonstrated an indirect effect between the stability of ppd and higher levels of willingness to provide social support, relationship closeness, and social support outcome expectations through decreased anger and increased sympathy. In study 2 (n = 139), participants were randomly assigned to read a vignette that described a hypothetical situation in which a loved one’s ppd was temporary or stable. We hypothesized that reading about temporary rather than ongoing ppd would be associated with higher levels of willingness to provide social support, relationship closeness, and social support outcome expectations, through decreased anger and increased sympathy. The hypotheses were partially supported. The experimental manipulation was associated with higher levels of willingness to provide social support, relationship closeness, and social support outcome expectations, through sympathy, but there was no influence of condition on anger. The results highlight the applicability of attribution theory to the ppd domain, provide insight into the stigmatization of women with ppd, and offer a possible path for reducing ppd stigmatization (i.e., interventions espousing the temporary nature of ppd). (Psycinfo database record (c) 2019 apa, all rights reserved)",,,STIGMA; STABILITY; POSTPARTUM DEPRESSION; MENTAL ILLNESS; ATTRIBUTION THEORY; ATTRIBUTION; POSTPARTUM DEPRESSION; STIGMA; MENTAL DISORDERS; TEST CONSTRUCTION
5,Attributional Biases In Aggressive Children And Their Mothers,MACBRAYER EK;MILICH R;HUNDLEY M,JOURNAL OF ABNORMAL PSYCHOLOGY,,,,,2003,,,"To investigate if mothers and their aggressive children share the tendency to infer hostile motives from others' behavior in ambiguous social situations, 100 pairs of mothers and their clinic-referred or comparison children (50 boys and 50 girls) were asked to interpret hypothetical situations involving both overtly and relationally provocative scenarios. Results replicated previous findings of studies on social information processing of aggressive children and extended the findings to mothers of aggressive children. Findings were generally consistent with the hypothesis that mothers of aggressive children tend to view others' ambiguous actions as hostile, increasing the probability of responding with aggression and, in effect, modeling a hostile attributional bias for their children. Examinations of mothers' and their children's attributional and behavioral intentions suggested that mothers' and daughters' attributions and behavioral intentions were significantly correlated, whereas mothers' and sons' were not. Gender effects with regard to provocation type are also discussed. (Psycinfo database record (c) 2022 apa, all rights reserved)",,,MOTHERS; AGGRESSIVE CHILDREN; ATTRIBUTIONAL BIASES; CHILD ATTITUDES; MOTHER ATTITUDES; AGGRESSION; ATTENTION DEFICIT AND DISRUPTIVE BEHAVIOR DISORDERS; CHILD; CHILD OF IMPAIRED PARENTS; FEMALE; HOSTILITY; HUMANS; INTERNAL-EXTERNAL CONTROL; JUVENILE DELINQUENCY; MALE; MOTHERS; MOTIVATION; RISK FACTORS; SEX FACTORS; SOCIAL PERCEPTION; AGGRESSIVE BEHAVIOR; ATTRIBUTION; CHILD ATTITUDES; MOTHERS; PARENTAL ATTITUDES
6,"Sex Role Stereotype Attributions Made By Bulimic, Weight-Obsessed, And Normal Women To Themselves And To Their Parents",DYRENFORTH SR,NA,,,,,1990,,,NA,,,ATTRIBUTION OF SEX ROLE CHARACTERISTICS TO SELF VS MOTHER VS FATHER; BULIMIC VS WEIGHT OBSESSED FEMALE COLLEGE STUDENTS; ATTRIBUTION; BULIMIA; SELF-PERCEPTION; SEX ROLES; FATHERS; MOTHERS
7,Causal Attributions For Psychological Illness Among Turkish Psychiatric In-Patients And Their Relationships With Hope.,KARANCI NA,THE INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,,,,,1986,,,"The causal attributions for psychological illness were investigated in a sample of seventy turkish psychiatric in-patients, using the levels of causal attributions proposed by the transtheoretical model of prochaska (1984). The factor analysis of replies to a questionnaire tapping various levels of causality revealed seven factors which were greatly overlapping with the causal attributional levels proposed by the transtheoretical model and verified in western samples. However, there were important dissimilarities on attributions to family, self, and interpersonal conflicts. Family conflicts and interpersonal conflicts appeared as two separate causal factors, whereas attributions to personal symptoms and family conflicts merged under a single higher-order factor. Results also revealed that types of attributions were related to hope for future well-being. The results and their implications were discussed within the framework of the transtheoretical model, attribution theory research and studies on the turkish family structure and values.",,,ATTITUDE TO HEALTH*; CULTURAL CHARACTERISTICS*; CULTURE*; MENTAL DISORDERS/*PSYCHOLOGY; ADOLESCENT; ADULT; AGED; ALCOHOLISM/PSYCHOLOGY; ANTISOCIAL PERSONALITY DISORDER/PSYCHOLOGY; ANXIETY DISORDERS/PSYCHOLOGY; DEPRESSIVE DISORDER/PSYCHOLOGY; FEMALE; HUMANS; MALE; MIDDLE AGED; OBSESSIVE-COMPULSIVE DISORDER/PSYCHOLOGY; PSYCHOLOGICAL TESTS; PSYCHOPHYSIOLOGIC DISORDERS/PSYCHOLOGY; TURKEY
8,"An Investigation Of The Relationship Among Family Process, Depression, And Quality Of Life To Medical Adherence In Cardiac Patients: A Family Systems Approach",BARTLEY AG,NA,,,,,2005,,,"Heart disease has been the leading cause of death in the united states since 1918 (american heart association, 2003). Cardiac rehabilitation (cr), which is the treatment protocol for heart disease, has been widely accepted as beneficial for cardiac patients (hevey, et al., 2003; thompson, et al. 2003). Even though the effectiveness of cardiac rehabilitation is well-documented, only 11-38% of patients needing cr services receive them (wenger, et al., 1995). Although there is information available regarding adherence-enhancing strategies while in cr (oldridge & jones, 1983), little information is available about which variables or combination of variables that influence participation in cr. The present study evaluated the family systems-illness model (rolland, 1994), in particular the psychosocial typology of the family, along with patient depression and quality of life, to medical adherence in the cardiac population. The sample consisted of 100 heart patients hospitalized at a medium-sized hospital in the midwest and 85 of their primary support partners. Each heart patient completed the enrichd social support inventory, family assessment device, beck depression inventory, short-form health survey-36, and a demographic questionnaire before actual participation in cardiac rehabilitation. Significant support persons filled out the enrichd social support inventory, family assessment device and a demographic questionnaire. Results indicated that the overall model was not statistically reliable in distinguishing between those who attended and those who did not attend cardiac rehabilitation. Ultimately the intent of this study was to identify markers indicating potential nonadherence to medical protocols. Since results were inconclusive, it is suggested that additional factors be explored in conjunction with the factors presented in this research. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,FAMILY PROCESS; DEPRESSION; QUALITY OF LIFE; CARDIAC PATIENTS; MEDICAL ADHERENCE; FAMILY; HEART DISORDERS; MAJOR DEPRESSION; QUALITY OF LIFE; TREATMENT COMPLIANCE; PATIENTS
9,Fostering Self-Regulated Skills In An Educational Psychology Course For Brazilian Preservice Teachers,BORUCHOVITCH E;GANDA DR,JOURNAL OF COGNITIVE EDUCATION AND PSYCHOLOGY,,,,,2013,,,"The relevance of self-regulated learning is well acknowledged by research, and converging evidence suggests that people can be taught self-regulatory skills, thus improving their behavior as learners. Researchers have recommended that educational psychology courses for preservice teachers should help future teachers become better learners as well as more effective teachers. An attempt was made to explore the challenge of creating an effective teaching approach to increase preservice teachers' awareness of their personal learning. This idea was implemented in an educational psychology course for 26 brazilian students in a teacher education program at a public university in the interior of the state of sao paulo, brazil. The procedures employed to foster self-regulatory skills and the results obtained from the experience are discussed in this article. Data were collected on 2 occasions using a self-efficacy for self-regulated learning scale and a general self-reflective activity. A structured diary about the students' learning experiences was also required. Results showed reported gains in self-regulatory skills, greater awareness of affective and motivational states, and an improvement in study practices. Findings are discussed in terms of both the importance of improving students' self-regulatory skills and the implications that such an initiative may have for future teaching practices. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,SELF REGULATED SKILLS; EDUCATIONAL PSYCHOLOGY COURSE; BRAZILIAN PRESERVICE TEACHERS; EDUCATIONAL PROGRAMS; SELF EFFICACY; COURSE EVALUATION; EDUCATIONAL PROGRAMS; EDUCATIONAL PSYCHOLOGY; PRESERVICE TEACHERS; SELF-REGULATED LEARNING; SELF-EFFICACY
10,"Falls Among People With Bilateral Vestibulopathy A Review Of Causes, Incidence, Injuries, And Methods",HERSSENS N;HOW D;VAN DE BERG R;MCCRUM C,JAMA OTOLARYNGOLOGY-HEAD \& NECK SURGERY,,,,,2022,,,"Importance people with bilateral vestibulopathy experience severe balance and mobility issues. Fear and anxiety are associated with reduced activity, which can further affect balance and fall risk. Understanding and intervening on falls in this population is essential. The aims of this narrative review are to provide an overview of the current knowledge and applied methods on fall incidence, causes, and injuries in bilateral vestibulopathy. Observations eleven articles reporting falls incidence in people with bilateral vestibulopathy were deemed eligible, including 3 prospective and 8 retrospective studies, with a total of 359 participants, of whom 149 (42\%) fell during the assessed period. When reported, the most common perceived causes of falls were loss of balance, darkness, and uneven ground. Information on sustained injuries was limited, with bruises and scrapes being the most common, and only 4 fractures were reported. As most studies included falls as a secondary, descriptive outcome measure, fall data obtained using best practice guidelines were lacking. Only 6 studies reported their definition of a fall, of which 2 studies explicitly reported the way participants were asked about their fall status. Only 3 studies performed a prospective daily fall assessment using monthly fall diaries (a recommended practice), whereas the remaining studies retrospectively collected fall-related data through questionnaires or interviews. While most studies reported the number of people who did and did not fall, the number of total falls in individual studies was lacking. Conclusions and relevance the findings from this review suggest that falls in people with bilateral vestibulopathy are common but remain an understudied consequence of the disease. Larger prospective studies that follow best practice guidelines for fall data collection with the aim of obtaining and reporting fall data are required to improve current fall risk assessments and interventions in bilateral vestibulopathy.",,,NA
