key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-470329163,The Role Of Medication In The Attributional Processes Of Children With Attention Deficit Hyperactivity Disorder,2001,1,1,NA,,,,,INGRAM AK,,,,,"Despite the widespread use of stimulant medication in treating children with attention deficit hyperactivity disorder (adhd), relatively little is known about the psychological effects of this form of treatment. It has been argued that children with adhd may develop maladaptive attributional patterns if they explain their achievements as the result of taking medication. The current study examined the attributional patterns of adhd children receiving medication for six months or more. A new measure, the comprehensive attribution questionnaire, was developed to assess the extent to which these children attribute success and failure to medication as well as to traditional attributional dimensions. Fifty-one adhd students and fifty-one matched, non-adhd students completed the comprehensive attribution questionnaire and the children's multidimensional self-efficacy scales (cmss). Adhd children were less likely to attribute success and failure experiences to medication effects than to other causes. No definitive differences between the attributional patterns of adhd and control children were identified. Furthermore, medication attributions were not found to significantly predict academic self-efficacy. These results suggest that long-term stimulant treatment does not have a deleterious effect on the attributional processes of children with adhd. Current findings are consistent with the existing research based on short-term medication trials. (Psycinfo database record (c) 2022 apa, all rights reserved)","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,MEDICATION;ATTRIBUTION;ADHD;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DRUG THERAPY;Attention Deficit Disorder with Hyperactivity,,
rayyan-470329164,Experimentally-Induced Success And Failure In Bulimic And Nonbulimic Women: Cognitive And Affective Responses,1988,1,1,NA,,,,,REYNA MCGLONE CL,,,,,NA,"RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,SELF EFFICACY & SUCCESS VS FAILURE ATTRIBUTIONS BULIMIC FEMALES;ATTRIBUTION;BULIMIA;SELF-EFFICACY;Cognition,,
rayyan-470329165,Children's Attributions Of Their Severely Mentally Ill Parent's Symptomatic Behavior: A Retrospective Study,1999,1,1,NA,,,,,BOURKE AB,,,,,"This dissertation study examined the causal attributions made by 30 adult children for their severely mentally ill parent's symptomatic behaviors. A retrospective methodology was used in order to explore the development of attributions from their first realization that their parent was behaving in a problematic manner to the present time. This study also explored the associations between attributions and participants' levels of coping and resiliency, as defined by their present functioning. The results of this study lend support to the use of an attributional framework in the study of children of the mentally ill. The data gathered using the adult children of the mentally ill-attribution scale (acmi-as) indicated reasonable internal consistency and expected intercorrelations of the attribution stems. A factor analysis of participants' responses to the acmi-as revealed three factors, including internal to self, internal to parent and predictability. The data suggested that participants' attributions significantly changed from their initial realization of parental symptomatic behavior to the present time. The analysis indicated that maturity was not wholly responsible for the change in attributions. Rather, the subjective amount of information concerning mental illness as well as extra-familial support were significant contributing factors. The analyses between attributions and coping as well as between attributions and resiliency suggested a relationship between these variables. The data further suggested that attributions for parental control of the symptomatic behavior or personal control by the child were associated with increased psychopathology and lower self-esteem and self-efficacy in respondents. Attributions that highlighted predictability, external causation, and biological causation were associated with fewer somatic complaints and increased social self-efficacy. (Psycinfo database record (c) 2016 apa, all rights reserved)","RAYYAN-INCLUSION: {""Ian""=>""Included""}",,ATTRIBUTIONS OF SEVERELY MENTALLY ILL PARENT'S SYMPTOMATIC BEHAVIOR;LEVELS OF COPING & RESILIENCY;ADULT CHILDREN OF SEVERELY MENTALLY ILL;ATTRIBUTION;COPING BEHAVIOR;MENTAL DISORDERS;PARENTS;RESILIENCE (PSYCHOLOGICAL);Retrospective Studies;Only Child;Child,,
rayyan-470329166,Ventral Striatal Activation During Attribution Of Stimulus Saliency And Reward Anticipation Is Correlated In Unmedicated First Episode Schizophrenia Patients,2012,1,1,SCHIZOPHRENIA RESEARCH,,,,,ESSLINGER C and ENGLISCH S and INTA D and RAUSCH F and SCHIRMBECK F and MIER D and KIRSCH P and MEYER-LINDENBERG A and ZINK M,,,,,"Patients with schizophrenia show deficits in motivation, reward anticipation and salience attribution. Several functional magnetic resonance imaging (fmri) investigations revealed neurobiological correlates of these deficits, raising the hypothesis of a common basis in midbrain dopaminergic signaling. However, investigations of drug-naïve first-episode patients with comprehensive fmri tasks are still missing. We recruited unmedicated schizophrenia spectrum patients (n = 27) and healthy control subjects (n = 27) matched for sex, age and educational levels. An established monetary reward anticipation task in combination with a novel task aiming at implicit salience attribution without the confound of monetary incentive was applied. Patients showed reduced right ventral striatal activation during reward anticipation. Furthermore, patients with a more pronounced hypoactivation attributed more salience to neutral stimuli, had more positive symptoms and better executive functioning. In the patient group, a more differentially active striatum during reward anticipation was correlated positively to differential ventral striatal activation in the implicit salience attribution task. In conclusion, a deficit in ventral striatal activation during reward anticipation can already be seen in drug-naïve, first episode schizophrenia patients. The data suggest that rather a deficit in differential ventral striatal activation than a generally reduced activation underlies motivational deficits in schizophrenia and that this deficit is related to the aberrant salience attribution. (Psycinfo database record (c) 2017 apa, all rights reserved)","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,VENTRAL STRIATAL ACTIVATION;ATTRIBUTION;STIMULUS SALIENCY;REWARD ANTICIPATION;FIRST EPISODE SCHIZOPHRENIA PATIENTS;ADULT;ANALYSIS OF VARIANCE;BASAL GANGLIA;FEMALE;FUNCTIONAL LATERALITY;HUMANS;IMAGE PROCESSING;COMPUTER-ASSISTED;MAGNETIC RESONANCE IMAGING;MALE;MOTIVATION;NEUROPSYCHOLOGICAL TESTS;OXYGEN;PHOTIC STIMULATION;REACTION TIME;RECOGNITION (PSYCHOLOGY);REWARD;SCHIZOPHRENIA;STATISTICS AS TOPIC;YOUNG ADULT;REWARDS;STIMULUS SALIENCE;Schizophrenia;Reward,,
rayyan-470329167,``How To Spot A Psychopath'' Lay Theories Of Psychopathy,2009,1,1,SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,,,,,FURNHAM A and DAOUD Y and SWAMI V,,,,,"The present study examined lay recognition of psychopathy and beliefs about the behavioural manifestations, aetiology, and treatments of psychopathy. A community sample of 232 participants completed a questionnaire consisting of a vignette-identification task, a ratings task of 45 attitudinal items about psychopathy, and demographics. Analysis of the vignette-identification data showed that participants were significantly less likely to correctly identify a case of psychopathy than they were of either depression or schizophrenia. Factors derived from principal components analysis of the attitudinal items revealed that participants generally believed psychopaths to be intelligent and to have criminal tendencies, and that psychopathy was likely caused by early trauma and stress. Overall, participants may have had monological beliefs about the manifestations, aetiology, and treatments of psychopathy. These results suggest that educational programmes are required to improve mental health literacy in relation to psychopathy among the general public.","RAYYAN-INCLUSION: {""Ian""=>""Included""}",,PSYCHOPATHY;MENTAL HEALTH LITERACY;MENTAL DISORDERS;ANTISOCIAL;PERSONALITY DISORDER,,
rayyan-470329168,Factors Impacting Depression Severity Among Turkish College Students,2022,1,1,CURRENT PSYCHOLOGY: A JOURNAL FOR DIVERSE PERSPECTIVES ON DIVERSE PSYCHOLOGICAL ISSUES,,,,,KAYA C,,,,,"Turkish college students experience increased rates of depression (bayram and bilgel, social psychiatry and psychiatric epidemiology, 43(8), 667672, 2008). The purpose of this study is to explore the relationship between demographic variables, perceived stress, dysfunctional attitudes, attribution style, and depression among turkish college students. A hierarchical regression analysis was used to determine the sequential effect of perceived stress, dysfunctional attitudes, attribution style on depression severity of turkish college students. Overall, the model explained 42% of depression severity, which is considered a large effect size explaining factors contributing to depression among turkish college students. The results indicated dysfunctional attitudes directly contributed depression severity among turkish college students; however, attribution style may influence depression through perceived stress as well. Participants with negative and internal attribution styles might perceive a high level of stress as they might attribute problems to themselves leading a higher level of depression. Mental health professionals who are working with students may check dysfunctional attitudes, and the attribution style of students and provide insight regarding the cognitive aspect of depression. (Psycinfo database record (c) 2022 apa, all rights reserved)","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,DYSFUNCTIONAL ATTITUDES;NEGATIVE ATTRIBUTION;PERCEIVED STRESS;DEPRESSION;MENTAL HEALTH;ATTRIBUTION;COLLEGE STUDENTS;MAJOR DEPRESSION;SEVERITY (DISORDERS);COGNITIVE STYLE;STUDENT ATTITUDES;Fibrinogen,,
rayyan-470329169,"The Miller-Forensic Assessment Of Symptoms Test (M-Fast): Test Generalizability And Utility Across Race, Literacy, And Clinical Opinion",2005,1,1,CRIMINAL JUSTICE AND BEHAVIOR,,,,,MILLER HA,,,,,"The miller-forensic assessment of symptoms test (m-fast) was developed to provide clinicians with a reliable and valid screen for malingered mental illness. Previous studies have demonstrated the development and initial validation of the m-fast. The current analyses extend the m-fast generalizability across literacy status and race and compare predictive utility with clinical opinion. Study l includes a sample of 280 forensic male psychiatric patients, 5 psychiatrists, and 8 psychologists. The psychiatric participants were administered the sirs, m-fast item pool, m test, and mmpi-2. Study 2 includes an independent sample of 50 male forensic psychiatric participants and the 13 mental health professionals. Results provide evidence of generalizability of the m-fast across literacy and racial groups. Results also indicate that the m-fast produced higher classification accuracy than the m test and clinical opinion, significantly reducing the number of false negatives at the screening stage of malingering assessment.","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,M-FAST;MALINGERING;TEST GENERALIZABILITY;CLINICAL OPINION;Continental Population Groups,,
rayyan-470329170,Attributions For Abstinence From Illicit Drugs By University Students,2008,1,1,"DRUGS: EDUCATION, PREVENTION & POLICY",,,,,ROSENBERG H and BAYLEN C and MURRAY S and PHILLIPS K and TISAK MS and VERSLAND A and PRISTAS E,,,,,"Aim: to assess college students' attributions for abstinence from alcohol and illicit drugs. Method: we recruited 125 undergraduates to rate the degree to which each of 41 listed reasons influenced their abstention from six specific substances (alcohol, mdma/ecstasy, inhalants, cocaine, marijuana, and hallucinogens). Findings: internal consistency analyses revealed reliable subscales of reasons reflecting themes such as perceived harmful effects, absence of enjoyment, likely loss of control, effects on one's body, inconsistency with one's values and self-image, and difficulty acquiring the substance. Men and women rarely differed significantly in the reported importance of different types of reasons for abstaining. Perceived lack of enjoyment was rated as the most influential type of reason for abstaining regardless of drug type. Difficulty acquiring drugs and concerns about failing a drug test were rated as having a small influence on abstinence regardless of drug type. Conclusions: our results are consistent with previous research that found anticipated interpersonal and performance problems reportedly inhibit drug taking, but that difficulty acquiring drugs and drug testing concerns reportedly have little influence on motivation for abstinence. Education and prevention messages may have more impact to the degree that they emphasize those consequences young persons find meaningful. (Psycinfo database record (c) 2016 apa, all rights reserved)","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,ATTRIBUTION;DRUG ABSTINENCE;UNIVERSITY STUDENTS;ALCOHOL ABSTINENCE;ILLICIT DRUGS;DRUG ABUSE;COLLEGE STUDENTS;Street Drugs,,
rayyan-470329171,Methodological Dualism Considered As A Heuristic Paradigm For Clinical Psychiatry,2022,1,1,BJPSYCH ADVANCES,,,,,PERNU TK,,,,,"Debates on dualism continue to plague psychiatry. I suggest that these debates are based on false dichotomies. According to metaphysical physicalism, reality is ultimately physical. Although this view excludes the idea of entities distinct from physical reality, it does not compel us to favour neural over psychological interventions. According to methodological dualism, both physical and mental interventions on the world can be deemed effective, and both perspectives can therefore be thought to be equally real. (Psycinfo database record (c) 2022 apa, all rights reserved)","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,CAUSAL EXPLANATION;DUALISM;MIND-BODY PROBLEM;PHYSICALISM;REDUCTIONISM;CAUSALITY;HEURISTICS;PSYCHIATRY;EPIDEMICS;INTERVENTION;METAPHYSICS,,
rayyan-470329172,Opinion Change As A Function Of External Commitment And Amount Of Discrepancy From The Opinion Of Another,1960,1,1,THE JOURNAL OF ABNORMAL AND SOCIAL PSYCHOLOGY,,,,,ROSENBAUM ME and FRANC DE,,,,,"'The present study was concerned with the effect of prior attribution of opinion to a person on a subsequent attempt to influence his opinion. It was hypothesized that an attribution congruent with the recipient's current opinion results in resistance to influence while an incongruent attribution facilitates opinion change.' The results support the hypothesis. (Psycinfo database record (c) 2022 apa, all rights reserved)","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,OPINION CHANGE;ATTRIBUTION;COMMITMENT;ATTITUDE CHANGE,,
rayyan-470329173,Barriers And Facilitators For Mental Health Service Use Among Racial/Ethnic Minority Adolescents: A Systematic Review Of Literature,2021,1,1,FRONTIERS IN PUBLIC HEALTH,,,,,LU W and TODHUNTER-REID A and MITSDARFFER M and YOON AS and XU L,,,,,"Introduction: mental disorders represent serious public health concerns in the u.s. Compared with whites, racial/ethnic minority adolescents are more likely to be affected by mental disorders but less likely to use mental health services. This systematic review aimed to summarize factors related to mental health service use among minority adolescents in the u.s. As identified in previous research. Methodology: following the prisma guideline, we systematically searched seven databases for peer reviewed articles related to barriers and facilitators of mental health service use among racial/ethnic minority adolescents. Results: thirty-two quantitative studies met our inclusion criteria, among which 12 studies (37.5\%) sampled mostly blacks or african americans, 6 studies (18.7\%) focused primarily on hispanics or latin/a/x, including mexican americans and puerto ricans, and 4 studies (12.5\%) were mostly asian americans (e.g., chinese, vietnamese). Based on the socio-ecological framework, 21 studies (65.6\%) identified adolescent-related barriers and facilitators of mental health service use, including biological (e.g., age, gender), clinical (e.g., symptom severity), behavioral (e.g., drug/alcohol use), and psychological characteristics (e.g., internal asset) of minority youth. Ten studies (31.3\%) identified parents-related factors that influenced minority adolescent mental health service use, including parental perceptions and beliefs, family and parenting issues, and demographic characteristics. Primary factors at the therapist level included ethnic match between patient and practitioner, relationship with healthcare practitioners, and patient-therapist co-endorsement of etiological beliefs. Fifteen studies (46.9\%) identified factors influencing minority adolescent mental health service use at the contextual/structural level, including household income, insurance status, and family structure. Lastly, acculturation and school experiences were major factors at the social/cultural level that influence minority adolescent service use. Conclusion: more empirical studies are needed to understand the mechanism underlying minority adolescents' unmet mental health service needs. Culturally competent interventions are warranted to engage minority adolescents with mental disorders into treatment.","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,MENTAL HEALTH SERVICE USE;ADOLESCENT;YOUTH;RACIAL;ETHNIC MINORITIES;;FACILITATORS AND BARRIERS;SYSTEMATIC REVIEW;Mental Health Services;Adolescent;Health Services,,
rayyan-470329174,Communication With Patients From Other Cultures: The Place Of Explanatory Models,2010,1,1,CLINICAL TOPICS IN CULTURAL PSYCHIATRY.,,,,,BHUI K and BHUGRA D and BHATTACHARYA R and CROSS S and BHUGRA D,,,,,"We discuss the complicated nature of communication between people from different cultural groups, perhaps using a second language. We focus on the fact that mental health practitioners and service users often have in common neither their cultural backgrounds nor their explanatory models of illness. Even in a shared language, communication can be less than optimal as words carry multiple meanings. Consequently, consultations that involve culturally grounded explanatory models of illness challenge the professional. We give examples showing that reconciling different explanatory models during the consultation is a core task for psychiatrists and mental health practitioners working in multicultural settings. (Psycinfo database record (c) 2022 apa, all rights reserved)","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,NA,,
rayyan-470329175,Depression And Cognition: New Insights From The Lorenz Curve And The Gini Index,2007,1,1,INTERNATIONAL JOURNAL OF CLINICAL AND HEALTH PSYCHOLOGY,,,,,MALDONADO A and PEREZ-OCON R and HERRERA A,,,,,"This ex post facto prospective study reports the use of statistical techniques known as the lorenz curve and gini index to analyze the content of depressive cognitions as a function of attributional negative style (i.e., internal, global and stable causal attributions for failure or negative events, as proposed by the learned helplessness model) and negative cognitive triad (i.e., a negative view of oneself, ones future and ones world, according to beck's cognitive model of depression). These statistical techniques revealed that attributional style was poorly related with depression level, whereas the negative cognitive triad showed a close relationship and provided a more accurate description of the depressive cognitive pattern. We also document how the lorenz curve and gini index can be used to assess the predictive capacity of different instruments or the strength of the relationship between different variables and psychological disorders, and to evaluate different models proposed to explain these disorders. This pioneering study reveals the potential usefulness in psychology of these statistical techniques, mainly used in economical sciences, for analyzing the validity of different factors and possible predictors of specific psychological disorders, or to enhance existing instruments, as our present study with depression shows.","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,DEPRESSION;LORENZ CURVE;GINI INDEX;ATTRIBUTIONAL STYLE;NEGATIVE;COGNITIVE TRIAD;EX POST FACTO PROSPECTIVE STUDY;Depression;Cognition,,
rayyan-470329176,Red: Adhd Under The ``Micro-Scope'' Of The Rat Model,2005,1,1,BEHAVIORAL AND BRAIN SCIENCES,,,,,RUBIA K,,,,,"Derived from a rat model, the theory of sagvolden et al. Offers air all-explanatory model of attention-deficit/hyperactivity disorder (adhd) anatomy, behaviour, and cognition as being caused predominantly by a hypo-dopaminergic mesolimbic (affecting the mesocortical and nigrostriatal) system, leading to abnormal reward and extinction processes. This model suffers from oversimplification and reductionism, reflecting the limitations of the use of animal models to explain higher mental disorders.","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,NA;Rats,,
rayyan-470329177,Academic Achievement And Causal Attributions Of Success And Failure By Success-Oriented And Failure-Oriented Children,1983,1,1,BULLETIN OF EDUCATIONAL PSYCHOLOGY,,,,,KUO S,,,,,"67 male and 46 female 5th6th grade students were classified as success- or failure-oriented, based on achievement motivation and test anxiety measures, to examine the relationship between academic achievement and achievement motivation and to investigate ss' causal attributions of success and failure. Ss were also administered the raven standard progressive matrices and attributional scales for success and failure. Two-way ancova, using iq scores as the covariate, indicated that success-oriented ss had higher academic achievement than failure-oriented ss. Success-oriented ss tended to attribute their success to ability and effort, while failure-oriented ss tended to attribute their failure to chance. Interpretations of findings are discussed. (51 ref) (psycinfo database record (c) 2016 apa, all rights reserved)","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,ACADEMIC ACHIEVEMENT & MOTIVATION & CAUSAL ATTRIBUTIONS OF SUCCESS & FAILURE;MALE VS FEMALE 5TH6TH GRADERS;ACADEMIC ACHIEVEMENT;ACADEMIC ACHIEVEMENT MOTIVATION;ACADEMIC FAILURE;ATTRIBUTION;ELEMENTARY SCHOOL STUDENTS;STUDENT CHARACTERISTICS;Only Child;Child;Causality,,
rayyan-470329178,Making Sense Of Childhood Obesity: An Investigation Of Differences In Causal Attributions Of Obesity Based On Children's Eating Style And Psychopathology,2016,1,1,ACTA PAEDIATRICA,,,,,BROGAN A and HEVEY D and WILSON C and O'MALLEY G and MURPHY S and BRINKLEY A,,,,,NA,"RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,CAUSAL ATTRIBUTIONS;CHILDHOOD OBESITY;EATING STYLES;PSYCHOPATHOLOGY;Only Child;Child;Causality,,
rayyan-470329179,"Diabetes Distress, Emotional Regulation, Hba(1c) In People With Diabetes And A Controlled Pilot Study Of An Emotion-Focused Behavioral Therapy Intervention In Adults With Type 2 Diabetes",2022,1,1,PRIMARY CARE DIABETES,,,,,COCCARO EF and DROSSOS T and KLINE D and LAZARUS S and JOSEPH JJ and DE GROOT M,,,,,"Aim: one potential barrier for people with diabetes to reach glycemic goals is diabetes distress. Accumulating evidence suggests diabetes distress may be linked to individuals' emotion regulation capacities. Thus, we conducted two studies to elucidate a model for how emotion regulation impacts diabetes distress and a(1c) levels and determine preliminary effect size estimates for an intervention targeting poor emotion regulation on glycemic control. Methods: study i used structural equation modeling to assess the cross-sectional relationships between these variables in a sample of 216 individuals with type 1 and type 2 diabetes. Study ii built on findings from study i that highlighted the role of emotion regulation capacities in diabetes distress and a(1c) by conducting a pilot study of an emotion-focused behavioral intervention compared to treatment as usual in a sample of individuals with type 2 diabetes. Results: study i examined two potential explanatory models with one of the models (model ii) showing a more comprehensive view of the data revealing a total effect of poor emotional regulation of 42\% of all effects on a(1c) levels. Study ii tested an emotion-focused behavioral intervention in patients with type 2 diabetes compared to treatment as usual and found medium sized reductions in a(1c) levels and smaller reductions in diabetes distress that correlated with changes in emotion regulation. Conclusions: these studies suggest that, in people with diabetes, elevated a(1c) levels and diabetes distress are linked with poor emotion regulation. While the effect sizes from study 2 are preliminary, an emotion-focused behavioral intervention may reduce both a(1c) and diabetes distress levels, through improvements in emotion regulation. Overall, these data suggest that targeting difficulties in emotion regulation may hold promise for maximizing improvement in diabetes distress and a(1c) in individuals with diabetes.","RAYYAN-INCLUSION: {""Ian""=>""Excluded""}",,DIABETES DISTRESS;EMOTIONAL REGULATION;HEMOGLOBIN A1C;DIABETES;SELF-MANAGEMENT;Pilot Projects;Behavior Therapy;Emotions,,
